921,Уголовное право (Общая)
922,Основы квалификации преступлений
924,Европейские стандарты в уголовном процессе
925,Гражданский процесс
927,Уголовное право (Общая)
928,Римское частное право
929,Уголовное право (Общая)
930,Уголовное право (Общая)
934,Семейное право
935,Гражданско-правовые обязательства и способы их обеспечения
936,Гражданское право
937,Уголовное право
938,Уголовное право
939,Актуальные проблемы вещного права
940,Уголовное право
941,Уголовное право
942,Уголовное право
943,Элементы теории групп
944,Физика
945,Арбитражный процесс
946,Математическая логика
947,Неисковые производства
948,Методы оптимизации и исследование операций
950,Методы оптимизации и исследование операций
951,Альтернативы уголовной ответственности
952,Пересмотр судебных постановлений в гражданском процессе
954,Насильственная преступность и криминальная агрессия
955,Компьютерные сети
956,Курс профилизации: компьютерное моделирование потоков
957,Экспериментальные методы в гидроаэродинамике
958,Методы визуализации гидродинамических потоков в среде АНСИС
959,Криминология
960,Криминология
961,Криминология
962,Криминология
963,Криминология
964,Криминология
965,Профессиональная этика и стандарты антикоррупционного поведения
966,Профессиональная этика и стандарты антикоррупционного поведения
967,Профессиональная этика и стандарты антикоррупционного поведения
969,Профессиональная этика и стандарты антикоррупционного поведения
970,Современное пенитенциарное право
971,Налоговое право
972,Конституционное судебное право и судебный процесс
973,Параллельное программирование
974,Математический анализ
975,Параллельное и распределенное программирование
976,Внутригосударственные и международно-правовые механизмы защиты основных прав и свобод
977,Численные методы
978,Конституционное право
979,Численные методы
980,Численные методы
981,Численные методы
982,Численные методы
983,Практикум на ЭВМ (численные методы)
984,Программная инженерия
985,История и методология прикладной математики и информатики
986,История и методология ПМ и Информатики
987,Практикум по решению задач на ЭВМ
988,Языки программирования
989,Общие вопросы элементарной математики
990,Современные компьютерные технологии
992,Численные методы
993,Дифференциальные уравнения
994,Дифференциальные уравнения
995,Дифференциация в правовом регулировании трудовых отношений
996,Правовые основы антикризисного управления
997,Дискретные модели системного анализа
998,Дискретная математика
999,Математическая логика и теория алгоритмов
1000,Математический анализ
1001,Педагогика
1002,Алгебра и геометрия
1003,Актуальные проблемы уголовного права ч.1
1004,Теоретическая и прикладная механика
1005,Теоретическая механика
1006,Научно-исследовательская работа
1007,Теоретическая и прикладная механика
1008,Научно-педагогическая практика
1009,Физика
1010,Вычислительные системы и микропрограммирование
1011,Теория автоматов и формальных языков
1014,Математический анализ
1015,Комплексный анализ
1016,Информационные технологии: система Латех2е
1017,Алгоритмы на графах
1018,Алгебра и геометрия
1019,Алгебра и геометрия
1020,Теория и методика математического образования
1021,Финансовое право
1022,Основы операционного исчисления
1023,Теория вероятности и математическая статистика
1024,Дискретная математика
1025,Математическая логика и теория множеств
1029,Основы механики сплошной среды
1030,Математические модели в механике сплошной среды
1031,Научно-исследовательский семинар по механике деформируемых тел и сред
1032,Плоские и пространственные задачи теории упругости
1033,Математический анализ
1034,Математический анализ
1035,Теория автоматов и шифров
1036,Современное пенитенциарное право
1037,Зарубежное и международное уголовное право
1038,Приложения функционального анализа в механике сплошных сред
1039,Исследование систем управления
1041,Средства СПО для обработки графических изображений
1042,Корпоративная социальная ответственность
1043,Алгебра и геометрия
1045,Управление человеческими ресурсами
1046,Алгебра
1047,Криминалистика
1048,Теория и технология программирования
1049,Операционные системы
1053,Стандартная библиотека С++
1054,Дифференциальные уравнения
1055,Практикум на ЭВМ (компьютерные сети)
1056,Численные методы
1058,Универсальный пакет Мепл
1059,Теоретическая механика
1060,Непрерывная математика
1062,Компьютерное моделирование
1064,Информационно-коммуникационные технологии
1065,Основы программирования
1066,Математический анализ
1067,1С: Основные объекты
1068,Комплексный анализ
1069,Методика обучения и воспитания информатике
1072,Методы и приложения компьютерной алгебры
1073,Функциональное программирование
1074,Современные компьютерные технологии
1075,Разработка кроссплатформенных приложений
1076,Уравнения математической физики
1077,Языки и методы программирования
1080,Основы информатики
1082,Избранные главы математического анализа
1083,Избранные главы математического анализа
1084,Практикум на ЭВМ
1085,Моделирование динамических систем
1086,Математический анализ
1087,Ряды Фурье
1088,Ряды Фурье
1090,Дифференциальные уравнения
1091,Геометрия
1092,Оценка сложности алгоритмов
1094,Дополнительные главы анализа
1095,Замечательные кривые
1096,Теория и методика математического образования
1097,Дискретные математические модели
1098,Теория информации
1099,Численные методы
1100,Детерминированная финансовая математика
1103,Вариационное исчисление и методы оптимизации
1104,Элементы гармонического анализа
1105,Банахова алгебра
1108,Геометрия
1109,Элементарная математика и ПРМЗ
