ID,Name,Abbr
633,Стратегический менеджмент малых и средних предприятий,
634,Стратегическое управление логистикой,
635,Стратегия управления бизнес-процессами,
636,Стратегия управления муниципальными образованиями,
637,Теории и технологии современного маркетинга,
638,Теория и практика антикризисного управления,
639,Теория и практика принятия управленческих решений,
640,Теория организации и организационное поведение,
641,Теория систем и системный анализ,
642,Теория статистики,
643,Территориальный маркетинг,
644,"Товароведение, экспертиза и стандартизация",
645,Транспортировка в логистических системах,
646,Тренинг,
647,Управление конкурентоспособностью предприятия,
648,Управление маркетингом,
649,Управленческая экономика,
650,Финансовая система России,
651,Финансово-коммерческая среда в Internet,
652,Финансовые рынки и финансовые инструменты,
653,Финансовый бухгалтерский учет,
654,Финансовый инжениринг,
655,Финансовый менеджмент,
656,Экологический менеджмент,
657,Электронный маркетинг,
658,﻿Стеганография,﻿Стеганография
659,"﻿Современные технологии сбора, обработки и анализа правовой информации",
660,﻿Web-технологии,
661,Веб-технологии,
662,﻿Дифференциальное исчисление на алгебраических многообразиях,
663,﻿Теория игр и ее приложения,
664,﻿Моделирование информационных систем,МИС
665,﻿Программирование,Прогр
666,Методы анализа организаций и моделирования бизнес процессов,МАОиМБП
667,﻿1С:УТ,1С:УТ
668,﻿Платформа 1С,Платформа 1С
669,Теория конечных графов,ТКГ
670,﻿Дополнительные главы теории экстремальных задач,ДГ ТЭЗ
671,﻿Экономическая теория,ЭТ
672,﻿Основы финансовой математики,ОФМ
673,Математический английский,Мат англ
674,﻿Психологические основы воспитания,ПОВ
675,﻿Уравнения типа свертки,УТС
676,﻿Возрастная анатомия и физиология,ВАиФ
677,Введение  в педагогическую деятельность,ВвПД
678,Эволюция вселенной,ЭВ
679,Возрастная психология,ВП
680,Социальная психология,СП
681,Физическое воспитание,ФВ
682,Экономика образования,ЭО
683,﻿Преддипломная практика,Преддип пр
684,Учебная практика,Уч пр
685,Научно-исследовательская практика,НИП
686,Научно-педагогическая практика,НПП
687,Педагогическая практика,Пед пр
688,﻿Интегральные операторы с однородными ядрами,ИО с ОЯ
689,Основы построения бизнес-процессов, ОПБП
690,"Гражданско-правовые договоры,регулирующие инвестиционные отношения",гпд
691,Юридическая конфликтология,юридич
692,Компьютерная верстка в TeX,КВерст.TeX
693,Дифференциальная геометрия,ДифГеом
694,Распределенные БД,Распр.БД
695,Универсальный пакет Maple,Пакет Maple
696,Методы вычислений,МетВыч
697,Теория автоматов и формальных языков,ТА и ФЯ
698,Теория кодирования,Теор.кодир-я
699,Русский язык и культура речи,Русск.яз и культ.реч
700,История в лицах,История в лицах
701,Математические модели экономических наук,ММЭН
702,Advanced problems of M.P.,AdvProblMP
703,Банахова алгебра,БанахАлг
704,Distributed applications development,DistrAppDev
705,Теория сферических гармоник,ТСфГ
706,Parallel and distributed programming,Par&DistPr
707,История и методология ПМ и Информатики,ИиМПМиИ
708,Модели контрактов и распределение ресурсов,МКиРР
709,Администрирование вычислительных кластеров,АдмВК
710,Дополнительные главы анализа,ДопГлАн
711,Теория устойчивости,ТУст
712,Особенности построения масштабируемых сетей,ОПМС
713,1С: УПП,1С: УПП
714,1С: Основные объекты,1С: Осн.об.
715,Современные проблемы ПМ и информатики,СППМиИ
716,Корпоративные информационные технологии,КорпИТ
717,Дополнительные главы алгебры и дискретной математики,ДопГлАиДМ
718,Modern Comp. Tech.,ModernCT
719,Дополнительные главы геометрии,ДопГлГеом
720,Элементы теории групп,Эл-ты ТГ
722,Курс по выбору: ОК-1,ОК-1
723,Педагогическая психология,ПедПсих-я
724,Естественно-научная картина мира,ЕНКМ
726,Рекуррентные соотношения,РекСоотн.
727,Компьютерная математика,КМ
728,Педагогическая риторика,ПедР
729,Теоретическая педагогика,ТеорПед
730,Основы операционного исчисления,ОсновыОИ
731,Modern Computer Technologies,ModCompTech
732,Машинное обучение,МашОбучение
734,Непрерывная математика,Непр.матем.
735,Теория поверхностей,ТеорПоверх
736,Дифференциация в правовом регулировании трудовых отношений,дифф
737,Пересмотр судебных постановлений в гражданском процессе,Пересмотр
738,Профессиональная этика и стандарты антикоррупционного поведения,проф
739,Насильственная преступность и криминальная агрессия,наси
740,Альтернативы уголовной ответственности,Альтернативы
741,Правовые основы антикризисного управления,Прав
742,Внутригосударственные и международно-правовые механизмы защиты основных прав и свобод,внутри
743,Актуальные проблемы уголовного права ч.1,Актуал
744,Актуальные проблемы теории права,актуал
745,Философия права,фило
746,Сравнительное правоведение,сравнит
747,История политических и правовых учений,история
748,История и методология юридической науки,история
